Timesteps,Ep_Rew_Mean
500,41.735295
1000,41.151029
1500,42.092693
2000,42.704979
2500,41.377054
3000,42.536808
3500,41.563983
4000,41.123634
4500,40.317394
5000,40.751487
5500,41.833766
6000,41.881024
6500,40.929777
7000,41.980128
7500,41.98823
8000,42.157053
8500,42.713189
9000,41.979003
9500,41.948598
10000,41.382732
10500,42.036078
11000,41.966328
11500,43.503198
12000,40.842938
12500,40.947169
13000,42.815711
13500,41.944151
14000,43.3776
14500,39.108094
15000,41.115794
15500,41.553969
16000,42.100278
16500,42.896485
17000,43.429163
17500,41.913932
18000,43.177055
18500,41.910327
19000,40.931015
19500,42.421825
20000,43.703931
20500,42.552664
21000,43.567192
21500,41.479523
22000,43.173955
22500,42.686622
23000,41.841822
23500,41.576259
24000,42.919838
24500,42.091991
25000,42.285671
25500,44.35888
26000,41.697995
26500,42.073797
27000,44.696617
27500,43.389186
28000,42.852475
28500,43.277511
29000,43.677744
29500,42.120156
30000,44.079348
30500,44.343945
31000,42.893835
31500,44.604755
32000,42.991309
32500,42.684473
33000,44.579866
33500,43.708867
34000,43.821441
34500,42.691061
35000,44.238547
35500,43.32743
36000,43.696539
36500,43.744313
37000,43.589464
37500,43.981238
38000,43.911379
38500,44.87412
39000,43.513702
39500,42.948963
40000,42.859982
40500,44.246005
41000,43.255527
41500,44.383697
42000,43.393662
42500,44.94052
43000,44.949241
43500,43.971121
44000,43.515359
44500,44.685819
45000,44.477233
45500,43.14749
46000,42.844198
46500,44.019454
47000,43.484458
47500,44.681975
48000,43.953813
48500,44.21049
49000,43.86577
49500,45.409593
50000,44.355548
50500,44.144774
51000,44.556994
51500,45.293755
52000,44.935947
52500,44.00218
53000,44.76898
53500,45.432285
54000,45.643214
54500,45.650529
55000,46.206679
55500,43.974068
56000,45.026203
56500,46.292384
57000,45.930511
57500,46.564475
58000,46.143295
58500,45.409175
59000,45.528463
59500,45.285853
60000,45.348558
60500,46.208335
61000,44.027744
61500,47.376432
62000,44.350344
62500,45.332318
63000,46.531854
63500,45.488455
64000,47.436655
64500,44.96668
65000,45.723356
65500,44.547548
66000,47.573261
66500,48.691796
67000,46.910425
67500,46.147313
68000,46.553955
68500,46.246929
69000,46.002485
69500,45.197378
70000,46.047008
70500,47.698292
71000,48.492246
71500,47.606091
72000,48.087359
72500,46.224034
73000,46.840116
73500,49.298411
74000,47.784398
74500,47.962714
75000,46.455206
75500,46.53976
76000,48.072524
76500,49.327394
77000,49.123076
77500,46.348146
78000,48.624801
78500,49.041657
79000,48.018332
79500,48.838802
80000,48.447105
80500,47.727993
81000,48.137074
81500,48.236289
82000,47.872122
82500,50.678284
83000,50.179646
83500,49.084366
84000,48.925059
84500,50.945922
85000,47.183508
85500,47.389551
86000,48.361936
86500,47.265683
87000,49.132686
87500,49.932704
88000,50.124055
88500,50.206357
89000,48.810583
89500,52.485818
90000,46.725206
90500,49.376025
91000,51.092743
91500,50.613832
92000,49.660807
92500,49.573478
93000,49.891091
93500,47.822113
94000,51.835544
94500,51.863783
95000,51.269589
95500,49.929364
96000,50.246135
96500,49.476845
97000,53.583865
97500,49.711578
98000,51.899389
98500,54.553757
99000,51.178892
99500,54.316819
100000,50.377402
100500,50.6831
101000,52.353094
101500,51.676755
102000,50.758959
102500,53.57738
103000,52.21319
103500,53.946153
104000,55.371848
104500,53.007363
105000,55.958566
105500,54.897019
106000,52.216534
106500,52.116575
107000,55.996746
107500,52.095664
108000,55.245216
108500,53.848379
109000,57.586013
109500,59.44217
110000,57.901435
110500,53.064709
111000,57.610473
111500,56.728343
112000,58.183187
112500,57.881974
113000,55.340051
113500,59.501274
114000,55.26649
114500,54.561638
115000,65.897347
115500,64.451281
116000,57.553194
116500,65.446153
117000,59.859491
117500,63.999275
118000,65.772464
118500,58.276832
119000,63.393132
119500,55.255102
120000,60.304405
120500,60.783145
121000,59.533992
121500,66.072981
122000,63.575341
122500,62.029144
123000,61.775113
123500,62.488993
124000,75.186033
124500,67.392672
125000,65.584694
125500,64.322245
126000,61.684366
126500,64.928378
127000,75.671287
127500,63.537305
128000,66.737017
128500,63.601921
129000,72.384695
129500,65.928341
130000,68.888633
130500,66.040964
131000,73.107109
131500,69.507056
132000,69.754051
132500,66.312881
133000,62.750112
133500,73.018438
134000,69.004223
134500,68.002249
135000,65.803812
135500,70.528027
136000,66.883601
136500,64.404246
137000,64.879069
137500,71.106511
138000,66.858066
138500,75.34602
139000,67.380674
139500,65.071291
140000,68.643079
140500,69.901548
141000,69.397253
141500,67.665295
142000,64.602096
142500,73.614225
143000,74.409078
143500,75.505652
144000,80.243099
144500,80.901285
145000,70.093982
145500,67.870859
146000,78.639204
146500,73.445913
147000,87.162274
147500,76.612445
148000,71.036
148500,73.738755
149000,85.80017
149500,74.10094
150000,75.383396
150500,83.64592
151000,78.123507
151500,80.851994
152000,74.902726
152500,80.732441
153000,81.762703
153500,76.165174
154000,79.606305
154500,76.878804
155000,83.465266
155500,76.09648
156000,79.598336
156500,82.328031
157000,81.269991
157500,83.442045
158000,88.73913
158500,88.631429
159000,74.690843
159500,88.525969
160000,72.652113
160500,95.099693
161000,86.299013
161500,94.781948
162000,88.228241
162500,98.00345
163000,86.187814
163500,87.373899
164000,89.820651
164500,87.849657
165000,91.667295
165500,89.01841
166000,79.682678
166500,92.811037
167000,92.691663
167500,86.797999
168000,101.399275
168500,99.807304
169000,98.315755
169500,97.014396
170000,88.148831
170500,94.624079
171000,88.597971
171500,100.504142
172000,97.356645
172500,98.016993
173000,92.383836
173500,98.84043
174000,102.519479
174500,102.705797
175000,102.945289
175500,95.3318
176000,96.755103
176500,104.28748
177000,107.250064
177500,99.99542
178000,86.114196
178500,102.94125
179000,100.955006
179500,102.575142
180000,98.186529
180500,101.613446
181000,96.330909
181500,108.934134
182000,105.731627
182500,94.504657
183000,102.999666
183500,97.61723
184000,94.930497
184500,101.775708
185000,100.66759
185500,100.814872
186000,97.349212
186500,101.58524
187000,105.608598
187500,101.845813
188000,101.25965
188500,107.900382
189000,102.541057
189500,105.322084
190000,105.723471
190500,103.46945
191000,105.210281
191500,99.908315
192000,101.823583
192500,109.402685
193000,109.443153
193500,106.082495
194000,106.43685
194500,107.201377
195000,104.025708
195500,104.070781
196000,106.978683
196500,94.532894
197000,105.908493
197500,110.211737
198000,108.116535
198500,107.76524
199000,103.335571
199500,107.101709
200000,108.307885
200500,107.040132
201000,100.969832
201500,108.575054
202000,108.99062
202500,112.240255
203000,110.286542
203500,103.240772
204000,111.978222
204500,108.089742
205000,109.511749
205500,100.739096
206000,108.220704
206500,100.586525
207000,107.445825
207500,107.958364
208000,107.135249
208500,113.945733
209000,109.824943
209500,105.983198
210000,106.670192
210500,108.961917
211000,110.672647
211500,108.1752
212000,106.023805
212500,108.802102
213000,112.045538
213500,109.545912
214000,113.599434
214500,98.456719
215000,101.450417
215500,105.997372
216000,111.345986
216500,108.88705
217000,113.410442
217500,110.748061
218000,100.811794
218500,112.848835
219000,113.97446
219500,113.407565
220000,108.231083
220500,113.750104
221000,111.855575
221500,110.854591
222000,109.819337
222500,115.012318
223000,110.39745
223500,114.630332
224000,116.196433
224500,113.265449
225000,98.179972
225500,107.625831
226000,112.664815
226500,113.644803
227000,114.892231
227500,112.256221
228000,114.781648
228500,114.449325
229000,111.581129
229500,113.114507
230000,118.099546
230500,113.365666
231000,114.04986
231500,109.566873
232000,115.707125
232500,96.448329
233000,107.701643
233500,111.226423
234000,115.286432
234500,114.071256
235000,113.638579
235500,115.062713
236000,116.583781
236500,114.834114
237000,109.960546
237500,116.585231
238000,116.414666
238500,114.240318
239000,118.390518
239500,115.002372
240000,117.26798
240500,117.427432
241000,114.47114
241500,122.708323
242000,116.762901
242500,103.421241
243000,116.810123
243500,106.107073
244000,112.053599
244500,118.943853
245000,116.804271
245500,117.972961
246000,116.412822
246500,119.759824
247000,117.393438
247500,120.425433
248000,124.559792
248500,120.767596
249000,118.188627
249500,120.044671
250000,111.661352
250500,119.452201
251000,120.152241
251500,106.342871
252000,106.934877
252500,121.562547
253000,124.028498
253500,117.43144
254000,123.239754
254500,123.248053
255000,119.923051
255500,122.745419
256000,121.200251
256500,125.008617
257000,117.445976
257500,119.58885
258000,123.393487
258500,119.397651
259000,117.361335
259500,121.179117
260000,123.956037
260500,122.448467
261000,122.973234
261500,125.959447
262000,123.810634
262500,124.700513
263000,123.531822
263500,108.756717
264000,124.967958
264500,122.554523
265000,108.031799
265500,120.333923
266000,122.327307
266500,119.755327
267000,123.556141
267500,123.028837
268000,125.29772
268500,117.999025
269000,125.074396
269500,124.682962
270000,123.741024
270500,120.905645
271000,126.702215
271500,124.2851
272000,128.745071
272500,123.172848
273000,127.028266
273500,114.004021
274000,128.023232
274500,135.444097
275000,120.492167
275500,124.489008
276000,130.676282
