Timesteps,Ep_Rew_Mean
1200500,201.256606
1201000,201.102741
1201500,201.179979
1202000,201.143756
1202500,200.8224
1203000,200.994916
1203500,201.019869
1204000,200.124324
1204500,199.899841
1205000,200.658792
1205500,200.506885
1206000,198.901702
1206500,199.923353
1207000,200.444574
1207500,200.494279
1208000,184.179018
1208500,185.168988
1209000,200.086145
1209500,198.778098
1210000,200.596473
1210500,199.195129
1211000,200.55581
1211500,200.387436
1212000,187.866223
1212500,198.228745
1213000,195.1726
1213500,199.485666
1214000,186.793213
1214500,201.008367
1215000,184.696167
1215500,194.143902
1216000,186.786017
1216500,189.53395
1217000,188.528401
1217500,191.614779
1218000,186.97685
1218500,187.371384
1219000,187.912173
1219500,197.655897
1220000,188.796043
1220500,199.559178
1221000,197.93744
1221500,189.850769
1222000,200.803534
1222500,200.327243
1223000,199.802179
1223500,199.428496
1224000,198.593941
1224500,198.199016
1225000,200.978755
1225500,200.841794
1226000,200.555161
1226500,200.426483
1227000,200.664346
1227500,201.002099
1228000,200.46311
1228500,200.241058
1229000,200.902737
1229500,164.716824
1230000,200.703396
1230500,200.665185
1231000,171.896344
1231500,200.881796
1232000,200.48795
1232500,178.268706
1233000,182.346058
1233500,201.021837
1234000,200.57716
1234500,199.507594
1235000,200.686195
1235500,201.005785
1236000,189.883986
1236500,200.598916
1237000,200.829915
1237500,200.675252
1238000,200.867067
1238500,200.637139
1239000,199.841381
1239500,200.83535
1240000,200.104609
1240500,200.386727
1241000,200.437647
1241500,200.353332
1242000,185.675685
1242500,179.558734
1243000,182.709413
1243500,197.68321
1244000,199.954622
1244500,199.90984
1245000,182.781303
1245500,190.4951
1246000,199.764548
1246500,200.128699
1247000,200.267849
1247500,200.653715
1248000,200.142625
1248500,200.479755
1249000,200.163198
1249500,198.517917
1250000,200.553375
1250500,196.621331
1251000,199.544339
1251500,193.361148
1252000,199.819207
1252500,200.077445
1253000,187.92515
1253500,194.498584
1254000,186.093604
1254500,193.905316
1255000,197.338867
1255500,199.636092
1256000,199.136818
1256500,193.090903
1257000,199.627513
1257500,200.181761
1258000,200.626776
1258500,196.185396
1259000,200.106905
1259500,196.727707
1260000,199.674498
1260500,200.905998
1261000,200.666325
1261500,200.208615
1262000,189.959966
1262500,191.092669
1263000,188.384758
1263500,191.625307
1264000,192.11913
1264500,195.923728
1265000,194.167088
1265500,196.101184
1266000,197.827903
1266500,199.504259
1267000,197.655216
1267500,198.90224
1268000,200.166135
1268500,200.3904
1269000,199.926947
1269500,200.166819
1270000,200.452611
1270500,200.721638
1271000,200.078103
1271500,197.871742
1272000,200.628507
1272500,186.569843
1273000,187.507635
1273500,188.457228
1274000,200.276837
1274500,192.821838
1275000,188.998647
1275500,194.456843
1276000,188.2414
1276500,198.750237
1277000,199.927348
1277500,190.324923
1278000,189.19494
1278500,195.83877
1279000,193.812348
1279500,194.33197
1280000,199.857456
1280500,200.412634
1281000,185.15722
1281500,190.482869
1282000,195.891649
1282500,197.823224
1283000,199.375334
1283500,182.354266
1284000,198.925857
1284500,200.15289
1285000,199.783174
1285500,200.307202
1286000,200.476231
1286500,199.8909
1287000,198.501045
1287500,198.76945
1288000,200.265281
1288500,198.524267
1289000,199.737466
1289500,199.70627
1290000,199.771494
1290500,187.820318
1291000,198.107893
1291500,199.234993
1292000,198.778624
1292500,199.698405
1293000,199.791795
1293500,198.893538
1294000,199.177421
1294500,198.708974
1295000,197.420411
1295500,198.602717
1296000,176.281665
1296500,198.42736
1297000,198.884453
1297500,199.200198
1298000,196.135996
1298500,198.652744
1299000,199.321238
1299500,167.281962
1300000,199.968627
