Timesteps,Ep_Rew_Mean
1400500,199.807479
1401000,193.006276
1401500,196.965593
1402000,199.327885
1402500,199.212318
1403000,200.066577
1403500,197.932011
1404000,199.56198
1404500,200.109449
1405000,189.098344
1405500,200.007529
1406000,200.823744
1406500,199.232031
1407000,199.686002
1407500,200.66668
1408000,200.23652
1408500,199.966837
1409000,200.306024
1409500,200.187905
1410000,200.21563
1410500,200.022646
1411000,200.521342
1411500,200.630304
1412000,200.308346
1412500,200.266444
1413000,200.585966
1413500,176.483507
1414000,197.603318
1414500,200.801435
1415000,200.943818
1415500,199.754745
1416000,200.356839
1416500,201.226893
1417000,200.279578
1417500,201.319851
1418000,199.915977
1418500,201.143648
1419000,198.654334
1419500,201.302238
1420000,200.797496
1420500,200.264718
1421000,200.158913
1421500,198.317211
1422000,201.055144
1422500,201.536128
1423000,200.602344
1423500,201.462237
1424000,201.33731
1424500,199.852009
1425000,200.425029
1425500,200.326455
1426000,200.294522
1426500,197.58559
1427000,198.186439
1427500,198.572052
1428000,196.753012
1428500,200.277535
1429000,198.302851
1429500,199.169934
1430000,200.532093
1430500,199.11395
1431000,199.027882
1431500,196.077025
1432000,199.616263
1432500,199.973046
1433000,199.997633
1433500,200.43547
1434000,195.220269
1434500,201.150804
1435000,196.795306
1435500,198.948028
1436000,195.106306
1436500,200.707121
1437000,197.925117
1437500,198.286643
1438000,200.074306
1438500,192.098399
1439000,193.792156
1439500,200.535018
1440000,201.767538
1440500,194.616268
1441000,185.863674
1441500,201.192671
1442000,189.121041
1442500,200.938811
1443000,179.664691
1443500,201.49379
1444000,200.087464
1444500,192.261311
1445000,201.422403
1445500,201.751087
1446000,190.820612
1446500,196.639606
1447000,201.61596
1447500,195.700329
1448000,196.298224
1448500,198.424387
1449000,193.818531
1449500,201.795321
1450000,192.268829
1450500,191.298527
1451000,196.859629
1451500,200.500655
1452000,190.111497
1452500,200.180982
1453000,197.878588
1453500,192.872142
1454000,199.043588
1454500,200.763198
1455000,199.779258
1455500,201.03033
1456000,199.435274
1456500,198.671972
1457000,198.76043
1457500,199.096427
1458000,199.409543
1458500,198.459142
1459000,198.664389
1459500,198.323606
1460000,197.699474
1460500,198.692689
1461000,199.324347
1461500,199.097486
1462000,198.821075
1462500,198.256056
1463000,198.938108
1463500,197.608319
1464000,199.80581
1464500,200.181687
1465000,198.397274
1465500,199.20635
1466000,200.214319
1466500,197.549172
1467000,198.715136
1467500,200.227804
1468000,199.225336
1468500,200.272621
1469000,199.473836
1469500,200.802919
1470000,201.136169
1470500,200.813244
1471000,200.144481
1471500,200.826185
1472000,199.795
1472500,200.417833
1473000,198.831368
1473500,201.056176
1474000,196.306408
1474500,200.361649
1475000,200.623855
1475500,200.542959
1476000,200.867805
1476500,200.98242
1477000,201.112256
1477500,201.179036
1478000,201.1786
1478500,200.923906
1479000,201.999154
1479500,202.13138
1480000,201.905064
1480500,201.786067
1481000,200.803822
1481500,201.935255
1482000,201.462194
1482500,201.315474
1483000,200.980528
1483500,201.555435
1484000,201.80375
1484500,201.70446
1485000,200.290804
1485500,201.059647
1486000,202.203169
1486500,201.758939
1487000,201.883512
1487500,201.793626
1488000,201.615238
1488500,201.093417
1489000,196.211647
1489500,201.447949
1490000,200.812452
1490500,200.029773
1491000,201.753669
1491500,201.667382
1492000,200.621742
1492500,200.807144
1493000,200.266494
1493500,201.396623
1494000,201.140365
1494500,200.028209
1495000,201.369761
1495500,201.531342
1496000,199.451931
1496500,191.921001
1497000,201.956774
1497500,201.69003
1498000,201.349599
1498500,201.923791
1499000,201.593652
1499500,201.984089
1500000,202.159751
