Timesteps,Ep_Rew_Mean
1000500,200.834158
1001000,200.131981
1001500,201.535633
1002000,202.034612
1002500,202.413106
1003000,201.782739
1003500,201.417057
1004000,201.714243
1004500,201.897014
1005000,201.996553
1005500,201.80258
1006000,201.449703
1006500,201.610774
1007000,201.315248
1007500,201.573376
1008000,201.033343
1008500,202.532255
1009000,201.08368
1009500,201.746883
1010000,202.110641
1010500,201.361895
1011000,195.643337
1011500,202.22816
1012000,201.853954
1012500,157.437428
1013000,201.548417
1013500,201.863994
1014000,202.098153
1014500,196.305171
1015000,202.515842
1015500,201.609995
1016000,202.686929
1016500,202.307227
1017000,202.35329
1017500,202.226337
1018000,202.049351
1018500,201.923397
1019000,201.660375
1019500,201.218747
1020000,196.590598
1020500,202.394702
1021000,201.513678
1021500,198.726021
1022000,196.564709
1022500,201.310184
1023000,202.038038
1023500,202.550542
1024000,196.509842
1024500,201.638911
1025000,201.617496
1025500,195.177937
1026000,201.11383
1026500,201.038854
1027000,201.122358
1027500,201.448435
1028000,200.17381
1028500,201.330185
1029000,199.594949
1029500,200.010417
1030000,199.966216
1030500,201.942826
1031000,201.232006
1031500,201.492824
1032000,201.451229
1032500,202.093044
1033000,202.434745
1033500,202.378172
1034000,202.38047
1034500,197.409815
1035000,202.363832
1035500,201.884813
1036000,202.696034
1036500,202.603051
1037000,202.63579
1037500,201.529055
1038000,202.033931
1038500,202.25309
1039000,202.457299
1039500,175.284715
1040000,202.744842
1040500,201.986242
1041000,191.910399
1041500,201.682007
1042000,200.848609
1042500,200.007812
1043000,200.105026
1043500,202.46559
1044000,201.044256
1044500,202.091849
1045000,201.823798
1045500,200.454842
1046000,202.245948
1046500,201.47579
1047000,201.944348
1047500,200.570255
1048000,202.397063
1048500,201.87788
1049000,202.189133
1049500,202.459039
1050000,202.728393
1050500,202.056376
1051000,200.079582
1051500,200.497502
1052000,201.011152
1052500,173.466089
1053000,200.955995
1053500,202.358971
1054000,199.121184
1054500,202.984485
1055000,202.371018
1055500,193.383608
1056000,201.530336
1056500,200.605249
1057000,201.015525
1057500,200.778189
1058000,202.501116
1058500,201.911249
1059000,201.779944
1059500,201.964067
1060000,201.712295
1060500,199.209389
1061000,201.958414
1061500,201.060979
1062000,200.100364
1062500,202.486806
1063000,202.181649
1063500,197.910924
1064000,178.451657
1064500,202.016123
1065000,202.399152
1065500,200.888343
1066000,196.710995
1066500,201.675613
1067000,202.318081
1067500,198.902585
1068000,170.578859
1068500,193.466093
1069000,201.993081
1069500,202.132655
1070000,201.236215
1070500,200.581833
1071000,201.518845
1071500,202.468492
1072000,202.571032
1072500,202.742887
1073000,200.498941
1073500,202.482295
1074000,202.978936
1074500,201.819754
1075000,202.499267
1075500,203.013259
1076000,203.284045
1076500,202.516655
1077000,203.053692
1077500,203.100214
1078000,203.266601
1078500,201.186945
1079000,203.093317
1079500,200.185082
1080000,202.717972
1080500,202.126338
1081000,202.850783
1081500,202.748854
1082000,202.174998
1082500,202.782241
1083000,202.653483
1083500,202.440366
1084000,202.108582
1084500,202.315516
1085000,201.298648
1085500,201.958181
1086000,201.021702
1086500,202.473529
1087000,202.433714
1087500,201.79856
1088000,201.679352
1088500,201.629255
1089000,201.835009
1089500,201.935385
1090000,201.947805
1090500,202.100205
1091000,201.628728
1091500,202.268402
1092000,201.611611
1092500,201.633108
1093000,199.994373
1093500,201.429442
1094000,202.259213
1094500,201.076874
1095000,202.134808
1095500,202.261176
1096000,199.159062
1096500,201.840953
1097000,192.892714
1097500,199.537008
1098000,201.478425
1098500,192.617958
1099000,202.018726
1099500,201.735328
1100000,200.928613
