Timesteps,Ep_Rew_Mean
1200500,201.704277
1201000,200.115862
1201500,201.825687
1202000,201.556789
1202500,201.933342
1203000,202.161384
1203500,202.072519
1204000,202.363819
1204500,159.569916
1205000,202.040354
1205500,201.726082
1206000,201.978128
1206500,201.786009
1207000,202.049438
1207500,201.947879
1208000,201.909545
1208500,201.804921
1209000,201.557365
1209500,201.980845
1210000,201.118266
1210500,201.710567
1211000,202.164877
1211500,202.339714
1212000,201.668107
1212500,166.879773
1213000,202.223468
1213500,201.46329
1214000,201.351111
1214500,201.896717
1215000,202.22429
1215500,202.015456
1216000,201.357472
1216500,169.661862
1217000,201.262063
1217500,201.457892
1218000,201.005092
1218500,201.34856
1219000,201.226469
1219500,201.753641
1220000,201.833243
1220500,201.930621
1221000,201.942366
1221500,202.173631
1222000,201.55204
1222500,201.664674
1223000,202.081228
1223500,202.687395
1224000,202.514711
1224500,201.571621
1225000,200.110283
1225500,201.866642
1226000,178.961878
1226500,201.100904
1227000,202.689417
1227500,201.658829
1228000,202.035241
1228500,200.207564
1229000,201.11042
1229500,201.484706
1230000,201.697935
1230500,201.484688
1231000,201.191188
1231500,201.610117
1232000,197.4463
1232500,200.193569
1233000,200.855481
1233500,176.414923
1234000,201.744725
1234500,200.314515
1235000,201.397063
1235500,195.730417
1236000,193.706821
1236500,193.293885
1237000,195.924357
1237500,192.337003
1238000,195.201002
1238500,195.432266
1239000,185.752687
1239500,194.223941
1240000,191.13306
1240500,193.681061
1241000,189.391735
1241500,201.848083
1242000,199.294075
1242500,196.082167
1243000,195.554609
1243500,202.152625
1244000,197.568796
1244500,201.607641
1245000,199.981229
1245500,201.753418
1246000,202.147012
1246500,201.650732
1247000,202.068007
1247500,202.187264
1248000,201.808897
1248500,202.54872
1249000,201.836492
1249500,202.155124
1250000,202.769588
1250500,202.084647
1251000,201.665889
1251500,202.489987
1252000,202.945069
1252500,202.720642
1253000,201.908614
1253500,202.87768
1254000,203.253209
1254500,203.048396
1255000,202.884284
1255500,202.911335
1256000,192.52583
1256500,172.459697
1257000,202.444603
1257500,202.607967
1258000,201.490049
1258500,202.854462
1259000,202.324585
1259500,192.465058
1260000,203.051499
1260500,199.960442
1261000,200.241296
1261500,202.439941
1262000,201.277999
1262500,202.67065
1263000,202.449605
1263500,202.525805
1264000,202.538281
1264500,202.031276
1265000,202.796934
1265500,202.940932
1266000,202.573057
1266500,202.703094
1267000,202.5074
1267500,202.629992
1268000,202.490102
1268500,202.10603
1269000,202.478219
1269500,202.75678
1270000,202.393349
1270500,202.702635
1271000,202.318938
1271500,202.491277
1272000,201.215289
1272500,193.620839
1273000,193.650218
1273500,196.06484
1274000,190.507445
1274500,201.074481
1275000,201.472432
1275500,199.860008
1276000,201.436504
1276500,197.498613
1277000,193.842257
1277500,200.992319
1278000,188.762029
1278500,198.947144
1279000,198.220945
1279500,201.212665
1280000,192.98257
1280500,192.41886
1281000,197.717009
1281500,191.859391
1282000,190.743945
1282500,189.527938
1283000,191.903202
1283500,196.689623
1284000,200.494905
1284500,198.177093
1285000,199.250451
1285500,179.286068
1286000,200.266407
1286500,199.098264
1287000,199.655657
1287500,201.007668
1288000,201.514301
1288500,180.515913
1289000,201.164348
1289500,200.890773
1290000,201.54897
1290500,201.193743
1291000,201.866356
1291500,202.095352
1292000,200.617224
1292500,201.00309
1293000,201.020645
1293500,201.20912
1294000,202.121102
1294500,201.261944
1295000,201.60188
1295500,179.334092
1296000,201.764719
1296500,196.75811
1297000,171.476463
1297500,195.946595
1298000,197.41515
1298500,199.015178
1299000,190.189693
1299500,196.837337
1300000,201.838319
